name_en,desc_en,name_ru,desc_ru,name_th,desc_th,name_zh,desc_zh,name_ar,desc_ar,id_external,published,section,is_new,is_signature
"Fresh Cold Pressed Juice","Cold pressed daily.","Свежевыжатые соки","Свежий отжим каждый день.","น้ำผลไม้สกัดเย็น","น้ำผลไม้สกัดเย็นสดใหม่ทุกวัน","冷压鲜果汁","每日新鲜冷压。","عصائر طازجة","تُعصر طازجة يومياً.","","Yes","Fresh Cold Pressed Juice","",""
"Fruit Juices","Natural fruit drinks.","Фруктовые соки","Натуральные фруктовые напитки.","น้ำผลไม้","เครื่องดื่มจากผลไม้ธรรมชาติ","果汁","天然果汁饮品。","عصائر الفواكه","مشروبات الفواكه الطبيعية.","","Yes","Fruit Juices","",""
"Soft Drinks","Chilled soft drinks and mixers.","Безалкогольные напитки","Прохладительные напитки и миксеры.","น้ำอัดลม","น้ำอัดลมและมิกเซอร์","软饮料","冰镇软饮与调酒饮料。","المشروبات الغازية","مشروبات غازية ومشروبات مزج.","","Yes","Soft Drinks","",""
"Mineral Water","Still and sparkling water.","Минеральная вода","Вода без газа и с газом.","น้ำแร่","น้ำแร่ธรรมดาและอัดลม","矿泉水","无气与气泡矿泉水。","المياه المعدنية","مياه معدنية عادية وفوارة.","","Yes","Mineral Water","",""
"Blended","Blended fruit drinks with ice.","Бленды","Фруктовые напитки со льдом.","เครื่องดื่มปั่น","เครื่องดื่มผลไม้ปั่น","冰沙","水果冰沙。","مشروبات مثلجة","مشروبات الفواكه المثلجة.","","Yes","Blended","",""
"Fruit Shakes Smoothie","Creamy fruit shakes.","Фруктовые шейки","Нежные фруктовые шейки.","สมูทตี้ผลไม้","สมูทตี้ผลไม้เนื้อเนียน","水果奶昔","香浓水果奶昔。","عصائر مخفوقة","مخفوق الفواكه الكريمي.","","Yes","Fruit Shakes Smoothie","",""
"Homemade Mocktails","Non-alcoholic signature drinks.","Домашние моктейли","Фирменные безалкогольные коктейли.","ม็อกเทลโฮมเมด","ม็อกเทลโฮมเมดไร้แอลกอฮอล์","自制无酒精鸡尾酒","自制无酒精特色饮品。","موكتيل منزلي","مشروبات مميزة خالية من الكحول.","","Yes","Homemade Mocktails","",""
"Phuket Local Craft Beer","Local craft beers brewed in Phuket. All 330 THB.","Крафтовое пиво Пхукета","Местное крафтовое пиво из Пхукета. Все по 330 бат.","คราฟต์เบียร์ภูเก็ต","คราฟต์เบียร์ท้องถิ่นจากภูเก็ต ราคาเดียว 330 บาท","普吉精酿啤酒","普吉本地精酿啤酒，统一价 330 泰铢。","بيرة بوكيت الحرفية","بيرة حرفية محلية من بوكيت، جميعها بـ 330 بات.","","Yes","Phuket Local Craft Beer","",""
"Aperitifs","Classic pre-dinner aperitifs.","Аперитивы","Классические аперитивы перед ужином.","อะเพริทิฟ","เครื่องดื่มเรียกน้ำย่อยก่อนมื้ออาหาร","开胃酒","经典餐前开胃酒。","المشهيات","مشهيات كلاسيكية قبل العشاء.","","Yes","Aperitifs","",""
"Vodka","Served by the glass.","Водка","Подаётся порционно.","วอดก้า","เสิร์ฟเป็นแก้ว","伏特加","按杯供应。","الفودكا","تقدم بالكأس.","","Yes","Vodka","",""
"Rum","Served by the glass.","Ром","Подаётся порционно.","รัม","เสิร์ฟเป็นแก้ว","朗姆酒","按杯供应。","الروم","تقدم بالكأس.","","Yes","Rum","",""
"Tequila","Served by the glass.","Текила","Подаётся порционно.","เตกีล่า","เสิร์ฟเป็นแก้ว","龙舌兰","按杯供应。","التكيلا","تقدم بالكأس.","","Yes","Tequila","",""
"Scotch Whiskeys","Served by the glass.","Шотландский виски","Подаётся порционно.","สก็อตช์วิสกี้","เสิร์ฟเป็นแก้ว","苏格兰威士忌","按杯供应。","الويسكي الاسكتلندي","تقدم بالكأس.","","Yes","Scotch Whiskeys","",""
"Bourbon & Whiskeys","Served by the glass.","Бурбон и виски","Подаётся порционно.","เบอร์เบินและวิสกี้","เสิร์ฟเป็นแก้ว","波本与威士忌","按杯供应。","البوربون والويسكي","تقدم بالكأس.","","Yes","Bourbon & Whiskeys","",""
"Cognac","Served by the glass.","Коньяк","Подаётся порционно.","คอนญัก","เสิร์ฟเป็นแก้ว","干邑","按杯供应。","الكونياك","تقدم بالكأس.","","Yes","Cognac","",""
"Liqueurs","Served by the glass.","Ликёры","Подаётся порционно.","ลิเคียว","เสิร์ฟเป็นแก้ว","利口酒","按杯供应。","المشروبات المحلاة","تقدم بالكأس.","","Yes","Liqueurs","",""
"Premium Gin","Premium gins from around the world. Please select your tonic.","Премиальный джин","Премиальные джины со всего мира. Тоник на выбор.","พรีเมียมจิน","จินพรีเมียมจากทั่วโลก เลือกโทนิคได้ตามชอบ","精品金酒","来自世界各地的精品金酒，可自选汤力水。","الجن الفاخر","جن فاخر من حول العالم، اختر التونيك المفضل لديك.","","Yes","Premium Gin","",""
"Cocktails","Classic cocktails, all 390 THB.","Коктейли","Классические коктейли, все по 390 бат.","ค็อกเทล","ค็อกเทลคลาสสิก ราคาเดียว 390 บาท","鸡尾酒","经典鸡尾酒，统一价 390 泰铢。","الكوكتيلات","كوكتيلات كلاسيكية، جميعها بـ 390 بات.","","Yes","Cocktails","",""
"Premium Cocktails","Signature premium cocktails, all 490 THB.","Премиальные коктейли","Фирменные премиальные коктейли, все по 490 бат.","ค็อกเทลพรีเมียม","ค็อกเทลพรีเมียมซิกเนเจอร์ ราคาเดียว 490 บาท","精品鸡尾酒","招牌精品鸡尾酒，统一价 490 泰铢。","كوكتيلات فاخرة","كوكتيلات فاخرة مميزة، جميعها بـ 490 بات.","","Yes","Premium Cocktails","",""
"Hot Coffee","Freshly brewed hot coffee.","Горячий кофе","Свежесваренный горячий кофе.","กาแฟร้อน","กาแฟร้อนชงสด","热咖啡","新鲜冲煮热咖啡。","القهوة الساخنة","قهوة ساخنة محضرة طازجة.","","Yes","Hot Coffee","",""
"Iced Coffee","Iced coffee and chocolate.","Холодный кофе","Холодный кофе и шоколад.","กาแฟเย็น","กาแฟเย็นและช็อกโกแลตเย็น","冰咖啡","冰咖啡与冰巧克力。","القهوة المثلجة","قهوة وشوكولاتة مثلجة.","","Yes","Iced Coffee","",""
"Tea","Hot tea selection, all 150 THB.","Чай","Подборка горячего чая, все по 150 бат.","ชา","ชาร้อนให้เลือก ราคาเดียว 150 บาท","茶","热茶精选，统一价 150 泰铢。","الشاي","تشكيلة شاي ساخن، جميعها بـ 150 بات.","","Yes","Tea","",""

