name_en,desc_en,name_ru,desc_ru,name_th,desc_th,name_zh,desc_zh,name_ar,desc_ar,id_external,published,section,price_1,price_1_calorie,price_1_desc_en,price_1_desc_ru,price_1_desc_th,price_1_desc_zh,is_snooze,food_color_code,is_new,is_signature,is_chefs_special,is_must_try,is_best_seller,is_our_favorite,is_healthy,preparation_time,stock
"Tom Yum Goong","Thai Spicy and Sour Soup With Prawns and Mushroom.","Том Ям с креветками","Тайский острый кислый суп с креветками и грибами.","ต้มยำกุ้ง","ต้มยำรสจัดจ้าน กุ้งและเห็ด","冬阴功汤","泰式酸辣汤，配虾与蘑菇。","توم يام بالروبيان","شوربة تايلاندية حارة وحامضة بالروبيان والفطر.","","Yes","Soups","350","","","","","","","","","","","","","","","",""
"Tom Kha Gai","Chicken in Coconut cream Soup, With Galangal and Mushroom.","Том Кха Гай","Куриный суп на кокосовых сливках с галангалом и грибами.","ต้มข่าไก่","ไก่ในน้ำกะทิ ข่าและเห็ด","椰奶鸡汤","椰奶鸡汤，配南姜与蘑菇。","توم كا غاي","شوربة الدجاج بكريمة جوز الهند مع الخولنجان والفطر.","","Yes","Soups","340","","","","","","","","","","","","","","","",""
"Black Truffle Soup","Wild mushroom, Truffle Paste & Parmesan Bread.","Суп с чёрным трюфелем","Суп из лесных грибов с трюфельной пастой и пармезановым хлебом.","ซุปเห็ดทรัฟเฟิลดำ","ซุปเห็ดป่า ทรัฟเฟิล เสิร์ฟพร้อมขนมปังพาร์เมซาน","黑松露汤","野生蘑菇汤，黑松露酱，配帕玛森面包。","شوربة الكمأة السوداء","شوربة الفطر البري مع معجون الكمأة وخبز البارميزان.","","Yes","Soups","300","","","","","","","","","","","","","","","",""
"New York Strip (Wagyu)","Australian Wagyu beef Striploin with Char-grilled Medley Vegetables, Lyonnaise Potatoes and Green Peppercorn Sauce.","Стриплойн Вагю","Австралийский стриплойн Вагю с овощами гриль, картофелем лионез и соусом из зелёного перца.","สเต๊กนิวยอร์กสตริป (วากิว)","เนื้อวากิวออสเตรเลีย เสิร์ฟพร้อมผักย่างและมันฝรั่ง ราดซอสพริกไทยอ่อน","纽约客牛排(和牛)","澳洲和牛西冷，配炭烤时蔬、里昂式土豆与青胡椒酱。","ستيك نيويورك واغيو","ستريبلوين واغيو أسترالي مع خضار مشوية وبطاطس ليونيز وصلصة الفلفل الأخضر.","","Yes","Flame Grilled","1500","","","","","","","","","Yes","","","","","","",""
"Filet Mignon (Wagyu)","Australian Wagyu beef tenderloin with Char-grilled Medley Vegetables, Lyonnaise potatoes and red wine sauce.","Филе миньон Вагю","Австралийская вырезка Вагю с овощами гриль, картофелем лионез и соусом из красного вина.","ฟิเลมิญอง (วากิว)","เนื้อสันในวากิวออสเตรเลีย ผักย่าง มันฝรั่ง ราดซอสไวน์แดง","菲力牛排(和牛)","澳洲和牛菲力，配炭烤时蔬、里昂式土豆与红酒酱。","فيليه مينيون واغيو","لحم الخاصرة واغيو أسترالي مع خضار مشوية وبطاطس ليونيز وصلصة النبيذ الأحمر.","","Yes","Flame Grilled","1420","","","","","","","","","","","","","","","",""
"Grilled Lamb Chop","Char-grilled Medley Vegetables, Lyonnaise Potatoes, Lamb jus.","Бараньи рёбрышки гриль","Бараньи рёбрышки на гриле с овощами, картофелем лионез и соусом жю.","ซี่โครงแกะย่าง","ซี่โครงแกะย่าง ผักย่าง มันฝรั่ง ราดซอสแกะ","炭烤羊排","炭烤羊排，配时蔬、里昂式土豆与羊肉原汁。","ريش الضأن المشوية","ريش الضأن المشوية مع الخضار وبطاطس ليونيز وصلصة اللحم.","","Yes","Flame Grilled","1150","","","","","","","","","","","","","","","",""
"Organic Pork Chop","Char-grilled Medley Vegetables, Lyonnaise Potatoes, Wild Mushroom sauce.","Свиная отбивная","Органическая свиная отбивная с овощами гриль, картофелем лионез и соусом из лесных грибов.","พอร์คช็อปออร์แกนิก","หมูออร์แกนิกย่าง ผักย่าง มันฝรั่ง ราดซอสเห็ดป่า","有机猪排","有机猪排，配炭烤时蔬、里昂式土豆与野菌酱。","ستيك لحم الخنزير العضوي","ستيك لحم خنزير عضوي مع خضار مشوية وبطاطس ليونيز وصلصة الفطر البري.","","Yes","Flame Grilled","450","","","","","","","","","","","","","","","",""
"Grilled Sea Bass Fillet","Sautéed & Lyonnaise Potatoes, Char-grilled Tomato and Dill Beurre Blanc Sauce.","Сибас на гриле","Филе сибаса с картофелем лионез, томатом гриль и соусом бёр блан с укропом.","ปลากะพงย่าง","ปลากะพงย่าง มันฝรั่ง มะเขือเทศย่าง ราดซอสเนยดิล","炭烤鲈鱼柳","香煎鲈鱼柳，配里昂式土豆、炭烤番茄与莳萝白黄油酱。","فيليه سمك القاروص المشوي","فيليه القاروص مع بطاطس ليونيز وطماطم مشوية وصلصة الزبدة بالشبت.","","Yes","Flame Grilled","570","","","","","","","","","","","","","","","",""
"Roasted Half Baby Chicken","Char-grilled Medley Vegetables, Lyonnaise Potatoes, Tarragon jus.","Половина цыплёнка","Половина цыплёнка с овощами гриль, картофелем лионез и соусом с эстрагоном.","ไก่อบครึ่งตัว","ไก่อ่อนอบครึ่งตัว ผักย่าง มันฝรั่ง ราดซอสทาร์รากอน","烤半只童子鸡","烤半只童子鸡，配炭烤时蔬、里昂式土豆与龙蒿汁。","نصف دجاجة مشوية","نصف دجاجة مشوية مع خضار مشوية وبطاطس ليونيز وصلصة الطرخون.","","Yes","Flame Grilled","450","","","","","","","","","","","","","","","",""
"Thai-Style ""Jaew"" Mixed Grill","Grilled to order and served alongside fragrant garlic fried rice and spicy-sour Thai ""Jaew"" sauce. Choose your main: Striploin Beef / Sea Bass Fillet / Tender Chicken.","Гриль по-тайски с соусом Джэу","Готовится на заказ, подаётся с ароматным чесночным рисом и остро-кислым тайским соусом Джэу. На выбор: стриплойн, филе сибаса или курица.","ย่างจิ้มแจ่ว","เสิร์ฟพร้อมข้าวผัดกระเทียมและน้ำจิ้มแจ่ว เลือกได้: เนื้อสันนอก / ปลากะพง / ไก่","泰式蘸酱烤肉","现点现烤，配蒜香炒饭与泰式酸辣蘸酱。可选主食材：西冷牛排／鲈鱼柳／嫩鸡肉。","مشاوي تايلاندية مع صلصة جايو","يُشوى حسب الطلب ويقدم مع أرز مقلي بالثوم وصلصة جايو التايلاندية الحارة. اختر الطبق الرئيسي: ستريبلوين، فيليه القاروص أو الدجاج.","","Yes","Flame Grilled","390","","","","","","","","","","","","","","","",""
"Bolognese","Pasta with Italian beef and tomatoes ragout.","Болоньезе","Паста с итальянским мясным рагу из говядины и томатов.","สปาเกตตีโบโลเนส","พาสต้าซอสเนื้อสับและมะเขือเทศ","博洛尼亚肉酱面","意式牛肉番茄肉酱意面。","باستا بولونيز","باستا مع صلصة اللحم البقري والطماطم الإيطالية.","","Yes","House Pasta","400","","","","","","","","","","","","","","","",""
"Pasta Pesto alla Genovese","Fettuccine with Basil pesto sauce with prawn.","Паста песто","Феттучине с соусом песто из базилика и креветками.","พาสต้าเพสโต้","เฟตตูชินีซอสเพสโต้ใบโหระพาและกุ้ง","青酱意面","宽扁面配罗勒青酱与鲜虾。","باستا بيستو","فيتوتشيني مع صلصة البيستو بالريحان والروبيان.","","Yes","House Pasta","390","","","","","","","","","","","","","","","",""
"Carbonara","Pasta with Smoked bacon, Parmigiano Reggiano, black pepper.","Карбонара","Паста с копчёным беконом, пармиджано реджано и чёрным перцем.","สปาเกตตีคาโบนารา","พาสต้าเบคอนรมควัน ชีสพาร์มิจาโน พริกไทยดำ","奶油培根意面","烟熏培根、帕玛森芝士与黑胡椒意面。","باستا كاربونارا","باستا مع اللحم المدخن وجبن البارميجانو والفلفل الأسود.","","Yes","House Pasta","390","","","","","","","","","","","","","","","",""
"Pasta Arrabbiata","Penne with Garlic, Chili & Basil, in Tomato Sauce.","Аррабьята","Пенне с чесноком, чили и базиликом в томатном соусе.","พาสต้าอาราเบียต้า","เพนเน่ผัดกระเทียม พริก โหระพา ในซอสมะเขือเทศ","辣茄意面","笔管面配蒜、辣椒、罗勒与番茄酱。","باستا أرابياتا","بيني مع الثوم والفلفل الحار والريحان في صلصة الطماطم.","","Yes","House Pasta","390","","","","","","","","","","","","","","","",""
"Napolitana","Pasta with tomato sauce and fresh basil.","Наполитана","Паста с томатным соусом и свежим базиликом.","พาสต้านาโปลิตานา","พาสต้าซอสมะเขือเทศและใบโหระพาสด","那不勒斯意面","番茄酱与新鲜罗勒意面。","باستا نابوليتانا","باستا بصلصة الطماطم والريحان الطازج.","","Yes","House Pasta","340","","","","","","","","","","","","","","","",""
"Gourmet Burger","Beef Patty in Brioche Bun with Tomato, Onion, Bacon, American Cheese, Fried Egg & French Fries.","Гурмэ бургер","Говяжья котлета в булочке бриошь с томатом, луком, беконом, американским сыром, яичницей и картофелем фри.","เบอร์เกอร์เนื้อกูร์เมต์","เนื้อบดในขนมปังบริยอช มะเขือเทศ หอมใหญ่ เบคอน ชีส ไข่ดาว เสิร์ฟพร้อมเฟรนช์ฟรายส์","招牌汉堡","布里欧修面包夹牛肉饼，配番茄、洋葱、培根、美式芝士、煎蛋与薯条。","برغر جورميه","قرص لحم بقري في خبز البريوش مع الطماطم والبصل واللحم المقدد والجبن والبيض المقلي والبطاطس.","","Yes","Sandwiches & Burgers","490","","","","","","","","","","","","","","","",""
"Club Panini","Toast Sandwich with B.L.T Bacon, Cooked Ham, Cheese & French Fries.","Клаб панини","Тост-сэндвич с беконом, ветчиной, сыром и картофелем фри.","คลับพานีนี","แซนด์วิชเบคอน แฮม ชีส เสิร์ฟพร้อมเฟรนช์ฟรายส์","总汇帕尼尼","烤三明治，培根、火腿与芝士，配薯条。","بانيني كلوب","ساندويتش محمص مع اللحم المقدد والجامبون والجبن والبطاطس المقلية.","","Yes","Sandwiches & Burgers","360","","","","","","","","","","","","","","","",""
"Chicken Panini","Crispy Ciabatta, Grilled Chicken, Tomatoes, Onions, Pesto Mayo & French Fries.","Панини с курицей","Хрустящая чиабатта с куриным гриль, томатом, луком, песто-майонезом и картофелем фри.","พานีนีไก่ย่าง","ขนมปังชาบัตตา ไก่ย่าง มะเขือเทศ หอมใหญ่ เพสโต้มายองเนส เสิร์ฟพร้อมเฟรนช์ฟรายส์","鸡肉帕尼尼","香脆恰巴塔面包夹烤鸡、番茄、洋葱与青酱蛋黄酱，配薯条。","بانيني الدجاج","خبز تشاباتا مقرمش مع الدجاج المشوي والطماطم والبصل ومايونيز البيستو والبطاطس.","","Yes","Sandwiches & Burgers","340","","","","","","","","","","","","","","","",""
"Vegetables Panini","Crispy Ciabatta, Char-grilled Bell Pepper, Onion, Zucchini, Eggplant, Mushroom, Cheese & French Fries.","Панини с овощами","Хрустящая чиабатта с болгарским перцем, луком, цукини, баклажаном, грибами и сыром, с картофелем фри.","พานีนีผักย่าง","ขนมปังชาบัตตา พริกหวาน หอมใหญ่ ซุกกินี มะเขือม่วง เห็ด ชีส เสิร์ฟพร้อมเฟรนช์ฟรายส์","蔬菜帕尼尼","香脆恰巴塔面包夹炭烤彩椒、洋葱、西葫芦、茄子、蘑菇与芝士，配薯条。","بانيني الخضار","خبز تشاباتا مقرمش مع الفلفل والبصل والكوسا والباذنجان والفطر والجبن والبطاطس.","","Yes","Sandwiches & Burgers","310","","","","","","","","","","","","","","","",""
"Stir-fried Rice Noodle with River Prawns","Phad Thai Goong Mae Nam - River prawns, Chan Noodle, Tofu, Bean sprout, Peanut, Tamarind sauce.","Пад Тай с речными креветками","Речные креветки, рисовая лапша Чан, тофу, ростки, арахис и тамариндовый соус.","ผัดไทยกุ้งแม่น้ำ","กุ้งแม่น้ำ เส้นจันท์ เต้าหู้ ถั่วงอก ถั่วลิสง ซอสมะขาม","河虾泰式炒河粉","河虾、尖竹汶河粉、豆腐、豆芽、花生与罗望子酱。","باد تاي بالروبيان النهري","روبيان نهري مع نودلز الأرز والتوفو وبراعم الفاصولياء والفول السوداني وصلصة التمر الهندي.","","Yes","Thai Main Dish","550","","","","","","","","","Yes","","","","","","",""
"Phuket Crabmeat Fried Rice","Khao Phad Phu - Fragrant jasmine rice gently seasoned with garlic and chilies, tossed with scrambled egg, Jumbo Crab meat, and spring onions.","Жареный рис с крабом","Жасминовый рис с чесноком и чили, обжаренный с яйцом, крупным крабовым мясом и зелёным луком.","ข้าวผัดปูภูเก็ต","ข้าวหอมมะลิผัดกระเทียมพริก ไข่ เนื้อปูก้อนโต และต้นหอม","普吉蟹肉炒饭","茉莉香米以蒜与辣椒调味，炒入鸡蛋、大块蟹肉与葱花。","أرز مقلي بلحم السلطعون","أرز الياسمين المتبل بالثوم والفلفل مع البيض ولحم السلطعون والبصل الأخضر.","","Yes","Thai Main Dish","390","","","","","","","","","","","","","","","",""
"Pla Kra Tiam","Deep fried Sea bass with Thai crispy Garlic and Green Mango salad.","Сибас с чесноком","Жареный сибас с хрустящим чесноком и салатом из зелёного манго.","ปลากะพงทอดกระเทียม","ปลากะพงทอดกรอบ กระเทียมเจียว เสิร์ฟพร้อมยำมะม่วง","蒜香炸鲈鱼","酥炸鲈鱼配泰式脆蒜与青芒果沙拉。","سمك مقلي بالثوم","سمك القاروص المقلي مع الثوم المقرمش وسلطة المانجو الأخضر.","","Yes","Thai Main Dish","550","","","","","","","","","","","","","","","",""
"Pla Kapong Neung Manao","Steamed Sea bass with sliced garlic spicy and sour sauce.","Сибас на пару с лаймом","Сибас на пару с чесноком в остро-кислом соусе.","ปลากะพงนึ่งมะนาว","ปลากะพงนึ่ง ราดน้ำจิ้มซีฟู้ดรสเปรี้ยวเผ็ด","清蒸柠檬鲈鱼","清蒸鲈鱼配蒜片酸辣汁。","سمك مطهو بالبخار بالليمون","سمك القاروص المطهو بالبخار مع شرائح الثوم وصلصة حارة وحامضة.","","Yes","Thai Main Dish","550","","","","","","","","","","","","","","","",""
"Kai Phad Med Ma Muang","Crispy Chicken with Cashew nuts, Bell peppers, Mushroom, and Spring onion.","Курица с кешью","Хрустящая курица с кешью, болгарским перцем, грибами и зелёным луком.","ไก่ผัดเม็ดมะม่วงหิมพานต์","ไก่กรอบผัดเม็ดมะม่วง พริกหวาน เห็ด ต้นหอม","腰果鸡丁","香脆鸡肉炒腰果、彩椒、蘑菇与葱段。","دجاج بالكاجو","دجاج مقرمش مع الكاجو والفلفل الحلو والفطر والبصل الأخضر.","","Yes","Thai Main Dish","320","","","","","","","","","","","","","","","",""
"Pla Muek Phad Prik Glua","Wok Fried Calamari with Chili, Garlic, Salt & Pepper.","Кальмары с чили и чесноком","Кальмары вок с чили, чесноком, солью и перцем.","ปลาหมึกผัดพริกเกลือ","ปลาหมึกผัดพริก กระเทียม เกลือและพริกไทย","椒盐鱿鱼","锅炒鱿鱼，辣椒、蒜、盐与胡椒。","حبار مقلي بالفلفل والملح","حبار مقلي بالفلفل الحار والثوم والملح والفلفل الأسود.","","Yes","Thai Main Dish","440","","","","","","","","","","","","","","","",""
"Phad Pak Boong Fai Dang","Stir-Fried Morning Glory With Garlic Chili and Soy Sauce.","Вьюнок водяной вок","Водяной вьюнок вок с чесноком, чили и соевым соусом.","ผัดผักบุ้งไฟแดง","ผักบุ้งผัดกระเทียม พริก และซีอิ๊ว","蒜蓉炒空心菜","蒜蓉辣椒酱油爆炒空心菜。","خضار مقلي بالثوم","خضار مقلي بالثوم والفلفل الحار وصلصة الصويا.","","Yes","Thai Main Dish","250","","","","","","","","","","","","","","","",""
"Khao Phad Rod Fai","Classic Thai Egg Fried Rice With Pork or Chicken, Kale, Tomatoes, Onion.","Тайский жареный рис","Классический тайский жареный рис с яйцом, свининой или курицей, капустой кале, томатом и луком.","ข้าวผัดรถไฟ","ข้าวผัดไข่ใส่หมูหรือไก่ คะน้า มะเขือเทศ หอมใหญ่","泰式蛋炒饭","经典泰式蛋炒饭，配猪肉或鸡肉、芥蓝、番茄与洋葱。","أرز مقلي تايلاندي","أرز مقلي تايلاندي بالبيض مع لحم الخنزير أو الدجاج والكرنب والطماطم والبصل.","","Yes","Thai Main Dish","280","","","","","","","","","","","","","","","",""
"Massaman Beef","Slow braised Beef in rich Massaman Curry, Potatoes & Crispy Shallot.","Массаман с говядиной","Медленно тушёная говядина в карри Массаман с картофелем и хрустящим шалотом.","แกงมัสมั่นเนื้อ","เนื้อตุ๋นในแกงมัสมั่น มันฝรั่ง และหอมเจียว","玛莎曼牛肉咖喱","慢炖牛肉玛莎曼咖喱，配土豆与香酥红葱。","مسمن لحم البقر","لحم بقري مطهو ببطء في كاري المسمن مع البطاطس والكراث المقرمش.","","Yes","Curry","480","","","","","","","","","","","","","","","",""
"Massaman Chicken","Slow braised Chicken in rich Massaman Curry, Potatoes & Crispy Shallot.","Массаман с курицей","Медленно тушёная курица в карри Массаман с картофелем и хрустящим шалотом.","แกงมัสมั่นไก่","ไก่ตุ๋นในแกงมัสมั่น มันฝรั่ง และหอมเจียว","玛莎曼鸡肉咖喱","慢炖鸡肉玛莎曼咖喱，配土豆与香酥红葱。","مسمن الدجاج","دجاج مطهو ببطء في كاري المسمن مع البطاطس والكراث المقرمش.","","Yes","Curry","400","","","","","","","","","","","","","","","",""
"Chicken Green Curry","Classic Thai Chicken green curry with eggplant and sweet basil.","Зелёный карри с курицей","Классический зелёный карри с курицей, тайскими баклажанами и базиликом.","แกงเขียวหวานไก่","แกงเขียวหวานไก่ มะเขือ และใบโหระพา","青咖喱鸡","经典泰式青咖喱鸡，配泰茄与九层塔。","كاري أخضر بالدجاج","كاري أخضر تايلاندي بالدجاج مع الباذنجان والريحان الحلو.","","Yes","Curry","340","","","","","","","","","","","","","","","",""
"Rad Nah Ruam Mitr","Seafood in Crispy Noodle Gravy with Chinese Kale and Onsen Egg.","Рад На с морепродуктами","Морепродукты в подливе с хрустящей лапшой, китайской капустой и яйцом онсэн.","ราดหน้ารวมมิตร","เส้นกรอบราดหน้าซีฟู้ด คะน้า และไข่ออนเซ็น","什锦烩面","海鲜脆面烩汁，配芥蓝与温泉蛋。","راد نا بالمأكولات البحرية","مأكولات بحرية مع نودلز مقرمشة وصلصة كثيفة والكرنب الصيني وبيض أونسن.","","Yes","One Dish Thai Traditional","380","","","","","","","","","","","","","","","",""
"Phad Se-Ew Chicken / Pork","Stir-Fried Flat Noodle, Kale, Egg, Soy Sauce, With choice of Chicken or Pork.","Пад Сиу с курицей или свининой","Широкая лапша вок с капустой кале, яйцом и соевым соусом, на выбор курица или свинина.","ผัดซีอิ๊ว ไก่ / หมู","เส้นใหญ่ผัดซีอิ๊ว คะน้า ไข่ เลือกไก่หรือหมู","泰式炒河粉(鸡/猪)","酱油炒宽河粉，配芥蓝、鸡蛋，可选鸡肉或猪肉。","باد سي إيو","نودلز عريضة مقلية مع الكرنب والبيض وصلصة الصويا، مع الدجاج أو لحم الخنزير.","","Yes","One Dish Thai Traditional","280","","","","","","","","","","","","","","","",""
"Phad Kra Praw","Stir-Fried minced meat with Holy Basil, Garlic and Chili served with rice.","Пад Кра Пао","Мясной фарш вок со священным базиликом, чесноком и чили, подаётся с рисом.","ผัดกะเพรา","ผัดกะเพรากระเทียมพริก เสิร์ฟพร้อมข้าวสวย","打拋炒饭","打抛叶蒜辣炒肉末，配米饭。","باد كرا باو","لحم مفروم مقلي مع الريحان المقدس والثوم والفلفل الحار يقدم مع الأرز.","","Yes","One Dish Thai Traditional","320","","","","","","","","","","","","","","","",""
"Gaeng Phu Phuket","Phuket Crab Curry - Authentic Southern style Phuket Crab Curry served with Rice Vermicelli.","Крабовый карри по-пхукетски","Аутентичный южный крабовый карри по-пхукетски с рисовой вермишелью.","แกงปูภูเก็ต","แกงปูสูตรใต้ดั้งเดิม เสิร์ฟพร้อมขนมจีน","普吉蟹肉咖喱","正宗南部普吉蟹肉咖喱，配米粉。","كاري السلطعون البوكيتي","كاري السلطعون الجنوبي الأصيل يقدم مع شعيرية الأرز.","","Yes","Phuket Special","550","","","","","","","","","","","","","","","",""
"Khao Phad Sapparod","Pineapple Fried Rice with your choice of Beef, Chicken, Pork, Crispy Pork, Shrimp or Squid.","Жареный рис с ананасом","Жареный рис с ананасом на выбор с говядиной, курицей, свининой, хрустящей свининой, креветками или кальмаром.","ข้าวผัดสับปะรด","ข้าวผัดสับปะรด เลือกเนื้อ ไก่ หมู หมูกรอบ กุ้ง หรือปลาหมึก","菠萝炒饭","菠萝炒饭，可选牛肉、鸡肉、猪肉、脆皮猪、虾或鱿鱼。","أرز مقلي بالأناناس","أرز مقلي بالأناناس مع اختيارك من اللحم أو الدجاج أو لحم الخنزير أو الروبيان أو الحبار.","","Yes","Phuket Special","510","","","","","","","","","","","","","","","",""
"Moo Hong","Phuket Braised Pork Belly - Phuket style braised pork belly in sweet & salty soy sauce.","Тушёная свинина Му Хонг","Свиная грудинка по-пхукетски, тушёная в сладко-солёном соевом соусе.","หมูฮ้อง","หมูสามชั้นตุ๋นสไตล์ภูเก็ต ในซีอิ๊วหวานเค็ม","普吉红烧肉","普吉风味甜咸酱油红烧五花肉。","لحم خنزير مطهو ببطء","لحم بطن الخنزير المطهو على الطريقة البوكيتية بصلصة الصويا الحلوة والمالحة.","","Yes","Phuket Special","380","","","","","","","","","","","","","","","",""
"Mee Sapam Seafood","Stir fried Hokkien-style noodles with seafood and an Onsen egg.","Лапша Ми Сапам с морепродуктами","Лапша по-хоккиенски с морепродуктами и яйцом онсэн.","หมี่สะปำทะเล","หมี่ฮกเกี้ยนผัดซีฟู้ด เสิร์ฟพร้อมไข่ออนเซ็น","沙帕姆海鲜面","福建风味炒面配海鲜与温泉蛋。","نودلز مي سابام بالمأكولات البحرية","نودلز على طريقة هوكين مع المأكولات البحرية وبيض أونسن.","","Yes","Phuket Special","380","","","","","","","","","","","","","","","",""
